model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
FCN,DistalPhalanxOutlineCorrect,InputXGradient,0.2753623188405797,0.22018348623853212,0.31137724550898205
FCN,DistalPhalanxOutlineCorrect,KernelShap,0.0036231884057971015,0.009174311926605505,0.0
FCN,DistalPhalanxOutlineCorrect,Lime,0.06884057971014493,0.03669724770642202,0.08982035928143713
FCN,DistalPhalanxOutlineCorrect,Occlusion,0.15217391304347827,0.23853211009174313,0.09580838323353294
FCN,PowerCons,Saliency,0.37777777777777777,0.36363636363636365,0.391304347826087
FCN,PowerCons,GuidedBackprop,0.20555555555555555,0.11363636363636363,0.29347826086956524
FCN,PowerCons,InputXGradient,0.36666666666666664,0.4090909090909091,0.32608695652173914
FCN,PowerCons,KernelShap,0.005555555555555556,0.0,0.010869565217391304
FCN,PowerCons,Lime,0.2388888888888889,0.23863636363636365,0.2391304347826087
FCN,PowerCons,Occlusion,0.35555555555555557,0.26136363636363635,0.44565217391304346
FCN,Earthquakes,Saliency,0.49640287769784175,0.4188034188034188,0.9090909090909091
FCN,Earthquakes,GuidedBackprop,0.49640287769784175,0.4188034188034188,0.9090909090909091
FCN,Earthquakes,InputXGradient,0.49640287769784175,0.4188034188034188,0.9090909090909091
FCN,Earthquakes,KernelShap,0.17985611510791366,0.13675213675213677,0.4090909090909091
FCN,Earthquakes,Lime,0.30935251798561153,0.23931623931623933,0.6818181818181818
FCN,Earthquakes,Occlusion,0.48201438848920863,0.4017094017094017,0.9090909090909091
InceptionTime,Coffee,Saliency,0.5,0.7142857142857143,0.2857142857142857
InceptionTime,Coffee,GuidedBackprop,0.5,0.7142857142857143,0.2857142857142857
InceptionTime,Coffee,InputXGradient,0.5,0.7142857142857143,0.2857142857142857
InceptionTime,Coffee,KernelShap,0.25,0.21428571428571427,0.2857142857142857
InceptionTime,Coffee,Lime,0.25,0.42857142857142855,0.07142857142857142
InceptionTime,Coffee,Occlusion,0.5,0.7142857142857143,0.2857142857142857
InceptionTime,Chinatown,Saliency,0.0,0.0,0.0
